italy-prov
Provinces of Italy
I;IS
20066;Milano (MI)
20067;Milano (MI)
20068;Milano (MI)
20069;Milano (MI)
20070;Milano (MI)
20077;Milano (MI)
20078;Milano (MI)
20080;Milano (MI)
20081;Milano (MI)
20082;Milano (MI)
20083;Milano (MI)
20084;Milano (MI)
20085;Milano (MI)
20086;Milano (MI)
20087;Milano (MI)
20088;Milano (MI)
20089;Milano (MI)
20090;Milano (MI)
20091;Milano (MI)
20092;Milano (MI)
20093;Milano (MI)
20094;Milano (MI)
20095;Milano (MI)
20096;Milano (MI)
20097;Milano (MI)
20098;Milano (MI)
20099;Milano (MI)
20121;Milano (MI)
20122;Milano (MI)
20123;Milano (MI)
20124;Milano (MI)
20125;Milano (MI)
20126;Milano (MI)
20127;Milano (MI)
20128;Milano (MI)
20129;Milano (MI)
20130;Milano (MI)
20131;Milano (MI)
20132;Milano (MI)
20133;Milano (MI)
20134;Milano (MI)
20135;Milano (MI)
20136;Milano (MI)
20137;Milano (MI)
20138;Milano (MI)
20139;Milano (MI)
20140;Milano (MI)
20141;Milano (MI)
20142;Milano (MI)
20143;Milano (MI)
20144;Milano (MI)
20145;Milano (MI)
20146;Milano (MI)
20147;Milano (MI)
20148;Milano (MI)
20149;Milano (MI)
20150;Milano (MI)
20151;Milano (MI)
20152;Milano (MI)
20153;Milano (MI)
20154;Milano (MI)
20155;Milano (MI)
20156;Milano (MI)
20157;Milano (MI)
20158;Milano (MI)
20159;Milano (MI)
20160;Milano (MI)
20161;Milano (MI)
20162;Milano (MI)
21010;Varese (VA)
21011;Varese (VA)
21012;Varese (VA)
21013;Varese (VA)
21014;Varese (VA)
21015;Varese (VA)
21016;Varese (VA)
21017;Varese (VA)
21018;Varese (VA)
21019;Varese (VA)
21020;Varese (VA)
21021;Varese (VA)
21022;Varese (VA)
21023;Varese (VA)
21024;Varese (VA)
21025;Varese (VA)
21026;Varese (VA)
21027;Varese (VA)
21028;Varese (VA)
21029;Varese (VA)
21030;Varese (VA)
21031;Varese (VA)
21032;Varese (VA)
21033;Varese (VA)
21034;Varese (VA)
21035;Varese (VA)
21036;Varese (VA)
21037;Varese (VA)
21038;Varese (VA)
21039;Varese (VA)
21040;Varese (VA)
21041;Varese (VA)
21042;Varese (VA)
21043;Varese (VA)
21044;Varese (VA)
21045;Varese (VA)
21046;Varese (VA)
21047;Varese (VA)
21048;Varese (VA)
21049;Varese (VA)
21050;Varese (VA)
21051;Varese (VA)
21052;Varese (VA)
21053;Varese (VA)
21054;Varese (VA)
21055;Varese (VA)
21056;Varese (VA)
21057;Varese (VA)
21058;Varese (VA)
21059;Varese (VA)
21100;Varese (VA)
22010;Como (CO)
22011;Como (CO)
22012;Como (CO)
22013;Como (CO)
22014;Como (CO)
22015;Como (CO)
22016;Como (CO)
22017;Como (CO)
22018;Como (CO)
22019;Como (CO)
22020;Como (CO)
22021;Como (CO)
22022;Como (CO)
22023;Como (CO)
22024;Como (CO)
22025;Como (CO)
22026;Como (CO)
22027;Como (CO)
22028;Como (CO)
22029;Como (CO)
22030;Como (CO)
22031;Como (CO)
22032;Como (CO)
22033;Como (CO)
22034;Como (CO)
22035;Como (CO)
22036;Como (CO)
22037;Como (CO)
22038;Como (CO)
22039;Como (CO)
22040;Como (CO)
22044;Como (CO)
22045;Como (CO)
22046;Como (CO)
22060;Como (CO)
22063;Como (CO)
22066;Como (CO)
22069;Como (CO)
22070;Como (CO)
22071;Como (CO)
22072;Como (CO)
22073;Como (CO)
22074;Como (CO)
22075;Como (CO)
22076;Como (CO)
22077;Como (CO)
22078;Como (CO)
22079;Como (CO)
22100;Como (CO)
23010;Sondrio (SO)
23011;Sondrio (SO)
23012;Sondrio (SO)
23013;Sondrio (SO)
23014;Sondrio (SO)
23015;Sondrio (SO)
23016;Sondrio (SO)
23017;Sondrio (SO)
23018;Sondrio (SO)
23019;Sondrio (SO)
23020;Sondrio (SO)
23021;Sondrio (SO)
23022;Sondrio (SO)
23023;Sondrio (SO)
23024;Sondrio (SO)
23025;Sondrio (SO)
23026;Sondrio (SO)
23027;Sondrio (SO)
23029;Sondrio (SO)
23030;Sondrio (SO)
23031;Sondrio (SO)
23032;Sondrio (SO)
23033;Sondrio (SO)
23034;Sondrio (SO)
23035;Sondrio (SO)
23036;Sondrio (SO)
23037;Sondrio (SO)
23038;Sondrio (SO)
23100;Sondrio (SO)
23801;Lecco (LC)
23802;Lecco (LC)
23804;Lecco (LC)
23805;Lecco (LC)
23806;Lecco (LC)
23807;Lecco (LC)
23808;Lecco (LC)
23811;Lecco (LC)
23813;Lecco (LC)
23814;Lecco (LC)
23815;Lecco (LC)
23816;Lecco (LC)
23817;Lecco (LC)
23818;Lecco (LC)
23819;Lecco (LC)
23821;Lecco (LC)
23822;Lecco (LC)
23823;Lecco (LC)
23824;Lecco (LC)
23825;Lecco (LC)
23826;Lecco (LC)
23827;Lecco (LC)
23828;Lecco (LC)
23829;Lecco (LC)
23831;Lecco (LC)
23832;Lecco (LC)
23833;Lecco (LC)
23834;Lecco (LC)
23835;Lecco (LC)
23836;Lecco (LC)
23837;Lecco (LC)
23838;Lecco (LC)
23841;Lecco (LC)
23842;Lecco (LC)
23843;Lecco (LC)
23844;Lecco (LC)
23845;Lecco (LC)
23846;Lecco (LC)
23847;Lecco (LC)
23848;Lecco (LC)
23849;Lecco (LC)
23851;Lecco (LC)
23852;Lecco (LC)
23854;Lecco (LC)
23855;Lecco (LC)
23857;Lecco (LC)
23861;Lecco (LC)
23862;Lecco (LC)
23864;Lecco (LC)
23865;Lecco (LC)
23867;Lecco (LC)
23868;Lecco (LC)
23870;Lecco (LC)
23871;Lecco (LC)
23873;Lecco (LC)
23874;Lecco (LC)
23875;Lecco (LC)
23876;Lecco (LC)
23877;Lecco (LC)
23878;Lecco (LC)
23879;Lecco (LC)
23880;Lecco (LC)
23881;Lecco (LC)
23883;Lecco (LC)
23884;Lecco (LC)
23885;Lecco (LC)
23886;Lecco (LC)
23887;Lecco (LC)
23888;Lecco (LC)
23889;Lecco (LC)
23890;Lecco (LC)
23891;Lecco (LC)
23892;Lecco (LC)
23893;Lecco (LC)
23894;Lecco (LC)
23895;Lecco (LC)
23896;Lecco (LC)
23897;Lecco (LC)
23898;Lecco (LC)
23899;Lecco (LC)
23900;Lecco (LC)
24010;Bergamo (BG)
24011;Bergamo (BG)
24012;Bergamo (BG)
24013;Bergamo (BG)
24014;Bergamo (BG)
24015;Bergamo (BG)
24016;Bergamo (BG)
24017;Bergamo (BG)
24018;Bergamo (BG)
24019;Bergamo (BG)
24020;Bergamo (BG)
24021;Bergamo (BG)
24022;Bergamo (BG)
24023;Bergamo (BG)
24024;Bergamo (BG)
24025;Bergamo (BG)
24026;Bergamo (BG)
24027;Bergamo (BG)
24028;Bergamo (BG)
24029;Bergamo (BG)
24030;Bergamo (BG)
24031;Bergamo (BG)
24033;Bergamo (BG)
24034;Bergamo (BG)
24035;Bergamo (BG)
24036;Bergamo (BG)
24037;Bergamo (BG)
24038;Bergamo (BG)
24039;Bergamo (BG)
24040;Bergamo (BG)
24041;Bergamo (BG)
24042;Bergamo (BG)
24043;Bergamo (BG)
24044;Bergamo (BG)
24045;Bergamo (BG)
24046;Bergamo (BG)
24047;Bergamo (BG)
24048;Bergamo (BG)
24049;Bergamo (BG)
24050;Bergamo (BG)
24051;Bergamo (BG)
24052;Bergamo (BG)
24053;Bergamo (BG)
24054;Bergamo (BG)
24055;Bergamo (BG)
24056;Bergamo (BG)
24057;Bergamo (BG)
24058;Bergamo (BG)
24059;Bergamo (BG)
24060;Bergamo (BG)
24061;Bergamo (BG)
24062;Bergamo (BG)
24063;Bergamo (BG)
24064;Bergamo (BG)
24065;Bergamo (BG)
24066;Bergamo (BG)
24067;Bergamo (BG)
24068;Bergamo (BG)
24069;Bergamo (BG)
24121;Bergamo (BG)
24122;Bergamo (BG)
24123;Bergamo (BG)
24124;Bergamo (BG)
24125;Bergamo (BG)
24126;Bergamo (BG)
24127;Bergamo (BG)
24128;Bergamo (BG)
24129;Bergamo (BG)
25010;Brescia (BS)
25011;Brescia (BS)
25012;Brescia (BS)
25013;Brescia (BS)
25014;Brescia (BS)
25015;Brescia (BS)
25016;Brescia (BS)
25017;Brescia (BS)
25018;Brescia (BS)
25019;Brescia (BS)
25020;Brescia (BS)
25021;Brescia (BS)
25022;Brescia (BS)
25023;Brescia (BS)
25024;Brescia (BS)
25025;Brescia (BS)
25026;Brescia (BS)
25027;Brescia (BS)
25028;Brescia (BS)
25029;Brescia (BS)
25030;Brescia (BS)
25031;Brescia (BS)
25032;Brescia (BS)
25033;Brescia (BS)
25034;Brescia (BS)
25035;Brescia (BS)
25036;Brescia (BS)
25037;Brescia (BS)
25038;Brescia (BS)
25039;Brescia (BS)
25040;Brescia (BS)
25042;Brescia (BS)
25043;Brescia (BS)
25044;Brescia (BS)
25045;Brescia (BS)
25046;Brescia (BS)
25047;Brescia (BS)
25048;Brescia (BS)
25049;Brescia (BS)
25050;Brescia (BS)
25051;Brescia (BS)
25052;Brescia (BS)
25053;Brescia (BS)
25054;Brescia (BS)
25055;Brescia (BS)
25056;Brescia (BS)
25057;Brescia (BS)
25058;Brescia (BS)
25059;Brescia (BS)
25060;Brescia (BS)
25061;Brescia (BS)
25062;Brescia (BS)
25063;Brescia (BS)
25064;Brescia (BS)
25065;Brescia (BS)
25068;Brescia (BS)
25069;Brescia (BS)
25070;Brescia (BS)
25071;Brescia (BS)
25072;Brescia (BS)
25073;Brescia (BS)
25074;Brescia (BS)
25075;Brescia (BS)
25076;Brescia (BS)
25077;Brescia (BS)
25078;Brescia (BS)
25079;Brescia (BS)
25080;Brescia (BS)
25081;Brescia (BS)
25082;Brescia (BS)
25083;Brescia (BS)
25084;Brescia (BS)
25085;Brescia (BS)
25086;Brescia (BS)
25087;Brescia (BS)
25088;Brescia (BS)
25089;Brescia (BS)
25121;Brescia (BS)
25122;Brescia (BS)
25123;Brescia (BS)
25124;Brescia (BS)
25125;Brescia (BS)
25126;Brescia (BS)
25127;Brescia (BS)
25128;Brescia (BS)
25129;Brescia (BS)
25130;Brescia (BS)
25131;Brescia (BS)
25132;Brescia (BS)
25133;Brescia (BS)
25134;Brescia (BS)
25135;Brescia (BS)
25136;Brescia (BS)
26010;Cremona (CR)
26011;Cremona (CR)
26012;Cremona (CR)
26013;Cremona (CR)
26014;Cremona (CR)
26015;Cremona (CR)
26016;Cremona (CR)
26017;Cremona (CR)
26018;Cremona (CR)
26019;Cremona (CR)
26020;Cremona (CR)
26021;Cremona (CR)
26022;Cremona (CR)
26023;Cremona (CR)
26024;Cremona (CR)
26025;Cremona (CR)
26026;Cremona (CR)
26027;Cremona (CR)
26028;Cremona (CR)
26029;Cremona (CR)
26030;Cremona (CR)
26031;Cremona (CR)
26032;Cremona (CR)
26033;Cremona (CR)
26034;Cremona (CR)
26035;Cremona (CR)
26036;Cremona (CR)
26037;Cremona (CR)
26038;Cremona (CR)
26039;Cremona (CR)
26040;Cremona (CR)
26041;Cremona (CR)
26042;Cremona (CR)
26043;Cremona (CR)
26044;Cremona (CR)
26045;Cremona (CR)
26046;Cremona (CR)
26047;Cremona (CR)
26048;Cremona (CR)
26049;Cremona (CR)
26100;Cremona (CR)
26811;Lodi (LO)
26812;Lodi (LO)
26813;Lodi (LO)
26814;Lodi (LO)
26815;Lodi (LO)
26816;Lodi (LO)
26817;Lodi (LO)
26818;Lodi (LO)
26821;Lodi (LO)
26822;Lodi (LO)
26823;Lodi (LO)
26824;Lodi (LO)
26825;Lodi (LO)
26826;Lodi (LO)
26827;Lodi (LO)
26828;Lodi (LO)
26831;Lodi (LO)
26832;Lodi (LO)
26833;Lodi (LO)
26834;Lodi (LO)
26835;Lodi (LO)
26836;Lodi (LO)
26837;Lodi (LO)
26838;Lodi (LO)
26839;Lodi (LO)
26841;Lodi (LO)
26842;Lodi (LO)
26843;Lodi (LO)
26844;Lodi (LO)
26845;Lodi (LO)
26846;Lodi (LO)
26847;Lodi (LO)
26848;Lodi (LO)
26849;Lodi (LO)
26851;Lodi (LO)
26852;Lodi (LO)
26853;Lodi (LO)
26854;Lodi (LO)
26855;Lodi (LO)
26856;Lodi (LO)
26857;Lodi (LO)
26858;Lodi (LO)
26859;Lodi (LO)
26861;Lodi (LO)
26862;Lodi (LO)
26863;Lodi (LO)
26864;Lodi (LO)
26865;Lodi (LO)
26866;Lodi (LO)
26867;Lodi (LO)
26900;Lodi (LO)
27010;Pavia (PV)
27011;Pavia (PV)
27012;Pavia (PV)
27013;Pavia (PV)
27014;Pavia (PV)
27015;Pavia (PV)
27016;Pavia (PV)
27017;Pavia (PV)
27018;Pavia (PV)
27019;Pavia (PV)
27020;Pavia (PV)
27021;Pavia (PV)
27022;Pavia (PV)
27023;Pavia (PV)
27024;Pavia (PV)
27025;Pavia (PV)
27026;Pavia (PV)
27027;Pavia (PV)
27028;Pavia (PV)
27029;Pavia (PV)
27030;Pavia (PV)
27031;Pavia (PV)
27032;Pavia (PV)
27034;Pavia (PV)
27035;Pavia (PV)
27036;Pavia (PV)
27037;Pavia (PV)
27038;Pavia (PV)
27039;Pavia (PV)
27040;Pavia (PV)
27041;Pavia (PV)
27042;Pavia (PV)
27043;Pavia (PV)
27044;Pavia (PV)
27045;Pavia (PV)
27046;Pavia (PV)
27047;Pavia (PV)
27048;Pavia (PV)
27049;Pavia (PV)
27050;Pavia (PV)
27051;Pavia (PV)
27052;Pavia (PV)
27053;Pavia (PV)
27054;Pavia (PV)
27055;Pavia (PV)
27057;Pavia (PV)
27058;Pavia (PV)
27059;Pavia (PV)
27100;Pavia (PV)
28010;Novara (NO)
28011;Novara (NO)
28012;Novara (NO)
28013;Novara (NO)
28014;Novara (NO)
28015;Novara (NO)
28016;Novara (NO)
28017;Novara (NO)
28019;Novara (NO)
28021;Novara (NO)
28024;Novara (NO)
28028;Novara (NO)
28040;Novara (NO)
28041;Novara (NO)
28043;Novara (NO)
28045;Novara (NO)
28046;Novara (NO)
28047;Novara (NO)
28050;Novara (NO)
28053;Novara (NO)
28060;Novara (NO)
28061;Novara (NO)
28062;Novara (NO)
28064;Novara (NO)
28065;Novara (NO)
28066;Novara (NO)
28068;Novara (NO)
28069;Novara (NO)
28070;Novara (NO)
28071;Novara (NO)
28072;Novara (NO)
28073;Novara (NO)
28074;Novara (NO)
28075;Novara (NO)
28076;Novara (NO)
28077;Novara (NO)
28078;Novara (NO)
28079;Novara (NO)
28100;Novara (NO)
28801;Verbania (VB)
28802;Verbania (VB)
28803;Verbania (VB)
28804;Verbania (VB)
28805;Verbania (VB)
28811;Verbania (VB)
28812;Verbania (VB)
28813;Verbania (VB)
28814;Verbania (VB)
28815;Verbania (VB)
28816;Verbania (VB)
28817;Verbania (VB)
28818;Verbania (VB)
28819;Verbania (VB)
28821;Verbania (VB)
28822;Verbania (VB)
28823;Verbania (VB)
28824;Verbania (VB)
28825;Verbania (VB)
28826;Verbania (VB)
28827;Verbania (VB)
28828;Verbania (VB)
28831;Verbania (VB)
28832;Verbania (VB)
28833;Verbania (VB)
28836;Verbania (VB)
28838;Verbania (VB)
28841;Verbania (VB)
28842;Verbania (VB)
28843;Verbania (VB)
28844;Verbania (VB)
28845;Verbania (VB)
28851;Verbania (VB)
28852;Verbania (VB)
28853;Verbania (VB)
28854;Verbania (VB)
28855;Verbania (VB)
28856;Verbania (VB)
28857;Verbania (VB)
28858;Verbania (VB)
28859;Verbania (VB)
28861;Verbania (VB)
28862;Verbania (VB)
28863;Verbania (VB)
28864;Verbania (VB)
28865;Verbania (VB)
28866;Verbania (VB)
28868;Verbania (VB)
28871;Verbania (VB)
28873;Verbania (VB)
28875;Verbania (VB)
28876;Verbania (VB)
28877;Verbania (VB)
28879;Verbania (VB)
28881;Verbania (VB)
28883;Verbania (VB)
28884;Verbania (VB)
28885;Verbania (VB)
28886;Verbania (VB)
28887;Verbania (VB)
28891;Verbania (VB)
28893;Verbania (VB)
28894;Verbania (VB)
28895;Verbania (VB)
28896;Verbania (VB)
28897;Verbania (VB)
28898;Verbania (VB)
28899;Verbania (VB)
28921;Verbania (VB)
28922;Verbania (VB)
28923;Verbania (VB)
28924;Verbania (VB)
28925;Verbania (VB)
29010;Piacenza (PC)
29011;Piacenza (PC)
29012;Piacenza (PC)
29013;Piacenza (PC)
29014;Piacenza (PC)
29015;Piacenza (PC)
29016;Piacenza (PC)
29017;Piacenza (PC)
29018;Piacenza (PC)
29019;Piacenza (PC)
29020;Piacenza (PC)
29021;Piacenza (PC)
29022;Piacenza (PC)
29023;Piacenza (PC)
29024;Piacenza (PC)
29025;Piacenza (PC)
29026;Piacenza (PC)
29027;Piacenza (PC)
29028;Piacenza (PC)
29029;Piacenza (PC)
29100;Piacenza (PC)
30010;Venezia (VE)
30013;Venezia (VE)
30014;Venezia (VE)
30015;Venezia (VE)
30016;Venezia (VE)
30020;Venezia (VE)
30021;Venezia (VE)
30022;Venezia (VE)
30023;Venezia (VE)
30024;Venezia (VE)
30025;Venezia (VE)
30026;Venezia (VE)
30027;Venezia (VE)
30028;Venezia (VE)
30029;Venezia (VE)
30030;Venezia (VE)
30031;Venezia (VE)
30032;Venezia (VE)
30033;Venezia (VE)
30034;Venezia (VE)
30035;Venezia (VE)
30036;Venezia (VE)
30037;Venezia (VE)
30038;Venezia (VE)
30039;Venezia (VE)
30121;Venezia (VE)
30122;Venezia (VE)
30123;Venezia (VE)
30124;Venezia (VE)
30125;Venezia (VE)
30126;Venezia (VE)
30127;Venezia (VE)
30128;Venezia (VE)
30129;Venezia (VE)
30130;Venezia (VE)
30131;Venezia (VE)
30132;Venezia (VE)
30133;Venezia (VE)
30134;Venezia (VE)
30135;Venezia (VE)
30136;Venezia (VE)
30137;Venezia (VE)
30138;Venezia (VE)
30139;Venezia (VE)
30140;Venezia (VE)
30141;Venezia (VE)
30142;Venezia (VE)
30143;Venezia (VE)
30144;Venezia (VE)
30145;Venezia (VE)
30146;Venezia (VE)
30147;Venezia (VE)
30148;Venezia (VE)
30149;Venezia (VE)
30150;Venezia (VE)
30151;Venezia (VE)
30152;Venezia (VE)
30153;Venezia (VE)
30154;Venezia (VE)
30155;Venezia (VE)
30156;Venezia (VE)
30157;Venezia (VE)
30158;Venezia (VE)
30159;Venezia (VE)
30160;Venezia (VE)
30161;Venezia (VE)
30162;Venezia (VE)
30163;Venezia (VE)
30164;Venezia (VE)
30165;Venezia (VE)
30166;Venezia (VE)
30167;Venezia (VE)
30168;Venezia (VE)
30169;Venezia (VE)
30170;Venezia (VE)
30171;Venezia (VE)
30172;Venezia (VE)
30173;Venezia (VE)
30174;Venezia (VE)
30175;Venezia (VE)
30176;Venezia (VE)
31010;Treviso (TV)
31011;Treviso (TV)
31012;Treviso (TV)
31013;Treviso (TV)
31014;Treviso (TV)
31015;Treviso (TV)
31016;Treviso (TV)
31017;Treviso (TV)
31018;Treviso (TV)
31020;Treviso (TV)
31021;Treviso (TV)
31022;Treviso (TV)
31023;Treviso (TV)
31024;Treviso (TV)
31025;Treviso (TV)
31026;Treviso (TV)
31027;Treviso (TV)
31028;Treviso (TV)
31029;Treviso (TV)
31030;Treviso (TV)
31031;Treviso (TV)
31032;Treviso (TV)
31033;Treviso (TV)
31034;Treviso (TV)
31035;Treviso (TV)
31036;Treviso (TV)
31037;Treviso (TV)
31038;Treviso (TV)
31039;Treviso (TV)
31040;Treviso (TV)
31041;Treviso (TV)
31043;Treviso (TV)
31044;Treviso (TV)
31045;Treviso (TV)
31046;Treviso (TV)
31047;Treviso (TV)
31048;Treviso (TV)
31049;Treviso (TV)
31050;Treviso (TV)
31051;Treviso (TV)
31052;Treviso (TV)
31053;Treviso (TV)
31054;Treviso (TV)
31055;Treviso (TV)
31056;Treviso (TV)
31057;Treviso (TV)
31058;Treviso (TV)
31059;Treviso (TV)
31100;Treviso (TV)
32010;Belluno (BL)
32012;Belluno (BL)
32013;Belluno (BL)
32014;Belluno (BL)
32015;Belluno (BL)
32016;Belluno (BL)
32020;Belluno (BL)
32021;Belluno (BL)
32022;Belluno (BL)
32026;Belluno (BL)
32027;Belluno (BL)
32028;Belluno (BL)
32030;Belluno (BL)
32031;Belluno (BL)
32032;Belluno (BL)
32033;Belluno (BL)
32034;Belluno (BL)
32035;Belluno (BL)
32036;Belluno (BL)
32037;Belluno (BL)
32040;Belluno (BL)
32041;Belluno (BL)
32042;Belluno (BL)
32043;Belluno (BL)
32044;Belluno (BL)
32045;Belluno (BL)
32046;Belluno (BL)
32047;Belluno (BL)
32100;Belluno (BL)
33010;Udine (UD)
33011;Udine (UD)
33013;Udine (UD)
33015;Udine (UD)
33016;Udine (UD)
33017;Udine (UD)
33018;Udine (UD)
33019;Udine (UD)
33020;Udine (UD)
33021;Udine (UD)
33022;Udine (UD)
33023;Udine (UD)
33024;Udine (UD)
33025;Udine (UD)
33026;Udine (UD)
33027;Udine (UD)
33028;Udine (UD)
33029;Udine (UD)
33030;Udine (UD)
33031;Udine (UD)
33032;Udine (UD)
33033;Udine (UD)
33034;Udine (UD)
33035;Udine (UD)
33036;Udine (UD)
33037;Udine (UD)
33038;Udine (UD)
33039;Udine (UD)
33040;Udine (UD)
33041;Udine (UD)
33042;Udine (UD)
33043;Udine (UD)
33044;Udine (UD)
33045;Udine (UD)
33046;Udine (UD)
33047;Udine (UD)
33048;Udine (UD)
33049;Udine (UD)
33050;Udine (UD)
33051;Udine (UD)
33052;Udine (UD)
33053;Udine (UD)
33054;Udine (UD)
33055;Udine (UD)
33056;Udine (UD)
33057;Udine (UD)
33058;Udine (UD)
33059;Udine (UD)
33070;Pordenone (PN)
33072;Pordenone (PN)
33074;Pordenone (PN)
33075;Pordenone (PN)
33076;Pordenone (PN)
33077;Pordenone (PN)
33078;Pordenone (PN)
33079;Pordenone (PN)
33080;Pordenone (PN)
33081;Pordenone (PN)
33082;Pordenone (PN)
33083;Pordenone (PN)
33084;Pordenone (PN)
33085;Pordenone (PN)
33086;Pordenone (PN)
33087;Pordenone (PN)
33090;Pordenone (PN)
33092;Pordenone (PN)
33094;Pordenone (PN)
33095;Pordenone (PN)
33097;Pordenone (PN)
33098;Pordenone (PN)
33099;Pordenone (PN)
33100;Udine (UD)
33170;Pordenone (PN)
34010;Trieste (TS)
34011;Trieste (TS)
34012;Trieste (TS)
34013;Trieste (TS)
34014;Trieste (TS)
34015;Trieste (TS)
34016;Trieste (TS)
34017;Trieste (TS)
34018;Trieste (TS)
34019;Trieste (TS)
34020;Trieste (TS)
34021;Trieste (TS)
34022;Trieste (TS)
34023;Trieste (TS)
34024;Trieste (TS)
34025;Trieste (TS)
34026;Trieste (TS)
34027;Trieste (TS)
34028;Trieste (TS)
34029;Trieste (TS)
34030;Trieste (TS)
34031;Trieste (TS)
34032;Trieste (TS)
34033;Trieste (TS)
34034;Trieste (TS)
34035;Trieste (TS)
34036;Trieste (TS)
34037;Trieste (TS)
34038;Trieste (TS)
34039;Trieste (TS)
34040;Trieste (TS)
34041;Trieste (TS)
34042;Trieste (TS)
34043;Trieste (TS)
34044;Trieste (TS)
34045;Trieste (TS)
34046;Trieste (TS)
34047;Trieste (TS)
34048;Trieste (TS)
34049;Trieste (TS)
34050;Trieste (TS)
34051;Trieste (TS)
34052;Trieste (TS)
34053;Trieste (TS)
34054;Trieste (TS)
34055;Trieste (TS)
34056;Trieste (TS)
34057;Trieste (TS)
34058;Trieste (TS)
34059;Trieste (TS)
34060;Trieste (TS)
34061;Trieste (TS)
34062;Trieste (TS)
34063;Trieste (TS)
34064;Trieste (TS)
34065;Trieste (TS)
34066;Trieste (TS)
34067;Trieste (TS)
34068;Trieste (TS)
34069;Trieste (TS)
34070;Gorizia (GO)
34070;Trieste (TS)
34071;Gorizia (GO)
34071;Trieste (TS)
34072;Gorizia (GO)
34072;Trieste (TS)
34073;Gorizia (GO)
34073;Trieste (TS)
34074;Gorizia (GO)
34074;Trieste (TS)
34075;Gorizia (GO)
34075;Trieste (TS)
34076;Gorizia (GO)
34076;Trieste (TS)
34077;Gorizia (GO)
34077;Trieste (TS)
34078;Gorizia (GO)
34078;Trieste (TS)
34079;Gorizia (GO)
34079;Trieste (TS)
34080;Trieste (TS)
34081;Trieste (TS)
34082;Trieste (TS)
34083;Trieste (TS)
34084;Trieste (TS)
34085;Trieste (TS)
34086;Trieste (TS)
34087;Trieste (TS)
34088;Trieste (TS)
34089;Trieste (TS)
34090;Trieste (TS)
34091;Trieste (TS)
34092;Trieste (TS)
34093;Trieste (TS)
34094;Trieste (TS)
34095;Trieste (TS)
34096;Trieste (TS)
34097;Trieste (TS)
34098;Trieste (TS)
34099;Trieste (TS)
34100;Trieste (TS)
34101;Trieste (TS)
34102;Trieste (TS)
34103;Trieste (TS)
34104;Trieste (TS)
34105;Trieste (TS)
34106;Trieste (TS)
34107;Trieste (TS)
34108;Trieste (TS)
34109;Trieste (TS)
34110;Trieste (TS)
34111;Trieste (TS)
34112;Trieste (TS)
34113;Trieste (TS)
34114;Trieste (TS)
34115;Trieste (TS)
34116;Trieste (TS)
34117;Trieste (TS)
34118;Trieste (TS)
34119;Trieste (TS)
34120;Trieste (TS)
34121;Trieste (TS)
34122;Trieste (TS)
34123;Trieste (TS)
34124;Trieste (TS)
34125;Trieste (TS)
34126;Trieste (TS)
34127;Trieste (TS)
34128;Trieste (TS)
34129;Trieste (TS)
34130;Trieste (TS)
34131;Trieste (TS)
34132;Trieste (TS)
34133;Trieste (TS)
34134;Trieste (TS)
34135;Trieste (TS)
34136;Trieste (TS)
34137;Trieste (TS)
34138;Trieste (TS)
34139;Trieste (TS)
34140;Trieste (TS)
34141;Trieste (TS)
34142;Trieste (TS)
34143;Trieste (TS)
34144;Trieste (TS)
34145;Trieste (TS)
34146;Trieste (TS)
34147;Trieste (TS)
34148;Trieste (TS)
34149;Trieste (TS)
34150;Trieste (TS)
34151;Trieste (TS)
34170;Gorizia (GO)
35010;Padova (PD)
35011;Padova (PD)
35012;Padova (PD)
35013;Padova (PD)
35014;Padova (PD)
35015;Padova (PD)
35016;Padova (PD)
35017;Padova (PD)
35018;Padova (PD)
35019;Padova (PD)
35020;Padova (PD)
35021;Padova (PD)
35022;Padova (PD)
35023;Padova (PD)
35024;Padova (PD)
35025;Padova (PD)
35026;Padova (PD)
35027;Padova (PD)
35028;Padova (PD)
35029;Padova (PD)
35030;Padova (PD)
35031;Padova (PD)
35032;Padova (PD)
35034;Padova (PD)
35035;Padova (PD)
35036;Padova (PD)
35037;Padova (PD)
35038;Padova (PD)
35040;Padova (PD)
35041;Padova (PD)
35042;Padova (PD)
35043;Padova (PD)
35044;Padova (PD)
35045;Padova (PD)
35046;Padova (PD)
35047;Padova (PD)
35048;Padova (PD)
35121;Padova (PD)
35122;Padova (PD)
35123;Padova (PD)
35124;Padova (PD)
35125;Padova (PD)
35126;Padova (PD)
35127;Padova (PD)
35128;Padova (PD)
35129;Padova (PD)
35130;Padova (PD)
35131;Padova (PD)
35132;Padova (PD)
35133;Padova (PD)
35134;Padova (PD)
35135;Padova (PD)
35136;Padova (PD)
35137;Padova (PD)
35138;Padova (PD)
35139;Padova (PD)
35140;Padova (PD)
35141;Padova (PD)
35142;Padova (PD)
35143;Padova (PD)
36010;Vicenza (VI)
36011;Vicenza (VI)
36012;Vicenza (VI)
36013;Vicenza (VI)
36014;Vicenza (VI)
36015;Vicenza (VI)
36016;Vicenza (VI)
36020;Vicenza (VI)
36021;Vicenza (VI)
36022;Vicenza (VI)
36023;Vicenza (VI)
36024;Vicenza (VI)
36025;Vicenza (VI)
36026;Vicenza (VI)
36027;Vicenza (VI)
36028;Vicenza (VI)
36030;Vicenza (VI)
36031;Vicenza (VI)
36032;Vicenza (VI)
36033;Vicenza (VI)
36034;Vicenza (VI)
